County,FIPS,Value (Dollars),Rank within US (of 3141 counties)
"Dearborn County, Indiana",18029,82693,428
"Bastrop County, Texas",48021,82730,427
"Logan County, Oklahoma",40083,82735,426
"Goodhue County, Minnesota",27049,82749,425
"Franklin County, Washington",53021,82755,424
"Putnam County, Ohio",39137,82785,423
"Sublette County, Wyoming",56035,82791,422
"Columbia County, Wisconsin",55021,82792,420
"Rice County, Minnesota",27131,82792,420
"Moore County, North Carolina",37125,82837,419
"Outagamie County, Wisconsin",55087,82857,418
"Monroe County, Georgia",13207,82863,417
"Plaquemines Parish, Louisiana",22075,82874,416
"York County, Maine",23031,82904,415
"Roanoke County, Virginia",51161,82931,414
"Jefferson County, Idaho",16051,82952,413
"Carroll County, New Hampshire",33003,82961,412
"Madison County, Virginia",51113,82972,411
"DeSoto County, Mississippi",28033,82980,410
"Seminole County, Florida",12117,83030,409
"York County, South Carolina",45091,83060,408
"Albany County, New York",36001,83149,407
"Clermont County, Ohio",39025,83178,406
"Hamlin County, South Dakota",46057,83194,405
"Madison County, Ohio",39097,83229,404
"Bremer County, Iowa",19017,83343,403
"Iowa County, Wisconsin",55049,83372,402
"Somervell County, Texas",48425,83382,401
"Foster County, North Dakota",38031,83412,400
"Elko County, Nevada",32007,83427,399
"Steele County, Minnesota",27147,83448,398
"Bottineau County, North Dakota",38009,83460,397
"Madison County, Alabama",1089,83528,396
"Limestone County, Alabama",1083,83534,395
"Grundy County, Iowa",19075,83617,394
"Columbia County, New York",36021,83619,393
"Scott County, Kentucky",21209,83660,392
"San Juan County, Washington",53055,83682,391
"Gloucester County, Virginia",51073,83689,390
"Lancaster County, Pennsylvania",42071,83703,389
"Kodiak Island Borough, Alaska",2150,83716,388
"LaGrange County, Indiana",18087,83741,387
"Mecklenburg County, North Carolina",37119,83765,386
"Bowman County, North Dakota",38011,83773,385
"Dinwiddie County, Virginia",51053,83898,384
"New Haven County, Connecticut",9009,83971,383
"Grafton County, New Hampshire",33009,84021,382
"Sandoval County, New Mexico",35043,84053,381
"Union County, South Dakota",46127,84137,380
"Pike County, Georgia",13231,84184,379
"Bristol County, Massachusetts",25005,84198,378
"Charleston County, South Carolina",45019,84320,377
"Warren County, Virginia",51187,84331,376
"Talbot County, Maryland",24041,84378,375
"Blaine County, Idaho",16013,84470,374
"Lander County, Nevada",32015,84474,373
"Greene County, Georgia",13133,84530,372
"Ouray County, Colorado",8091,84556,371
"Grand County, Colorado",8049,84558,370
"Carson County, Texas",48065,84583,369
"Fairbanks North Star, Alaska",2090,84722,368
"Sioux County, Iowa",19167,84736,367
"Benton County, Iowa",19011,84742,366
"Fayette County, Tennessee",47047,84764,365
"McClain County, Oklahoma",40087,84778,364
"Beaufort County, South Carolina",45013,84819,363
"Gwinnett County, Georgia",13135,84823,362
"Nevada County, California",6057,84905,361
"Burleigh County, North Dakota",38015,84948,360
"Queens County, New York",36081,84961,359
"Jackson County, Georgia",13157,85012,358
"King William County, Virginia",51101,85212,357
"Greene County, Ohio",39057,85218,356
"Greene County, Virginia",51079,85268,355
"Lincoln County, Missouri",29113,85276,354
"La Plata County, Colorado",8067,85296,353
"Galveston County, Texas",48167,85348,352
"Fredericksburg City, Virginia",51630,85368,351
"Canadian County, Oklahoma",40017,85427,350
"Effingham County, Georgia",13103,85465,349
"Skagit County, Washington",53057,85474,348
"Maricopa County, Arizona",4013,85518,347
"Valdez-Cordova Census Area, Alaska",2261,85537,346
"Washoe County, Nevada",32031,85600,345
"Beaver County, Utah",49001,85603,344
"Woodford County, Illinois",17203,85629,343
"Cumberland County, Pennsylvania",42041,85634,342
"Morgan County, Georgia",13211,85692,341
"Hays County, Texas",48209,85827,340
"Porter County, Indiana",18127,85828,339
"Clinton County, Michigan",26037,85928,338
"Sumner County, Tennessee",47165,86005,337
"Cabarrus County, North Carolina",37025,86084,336
"Lincoln County, Wyoming",56023,86092,335
"Clay County, Florida",12019,86094,334
"Clay County, Missouri",29047,86150,333
"Garfield County, Colorado",8045,86172,332
"Collier County, Florida",12021,86173,331
"Multnomah County, Oregon",41051,86247,330
"Kalawao County, Hawaii",15005,86250,329
"Caroline County, Virginia",51033,86267,328
"North Slope Borough, Alaska",2185,86313,327
"Columbia County, Oregon",41009,86359,326
"Hanson County, South Dakota",46061,86375,325
"Camden County, New Jersey",34007,86384,324
"Hampshire County, Massachusetts",25015,86391,323
"Henrico County, Virginia",51087,86397,322
"Ocean County, New Jersey",34029,86411,321
"Strafford County, New Hampshire",33017,86564,320
"Isanti County, Minnesota",27059,86573,319
"Rensselaer County, New York",36083,86663,318
"Northampton County, Pennsylvania",42095,86687,317
"Butler County, Pennsylvania",42019,86775,316
"Hood County, Texas",48221,86802,315
"Leavenworth County, Kansas",20103,86906,314
"Mono County, California",6051,86953,313
"Fairfield County, Ohio",39045,87069,312
"Weber County, Utah",49057,87083,311
"Yamhill County, Oregon",41071,87084,310
"Passaic County, New Jersey",34031,87137,309
"Ottawa County, Michigan",26139,87144,308
"Washtenaw County, Michigan",26161,87156,307
"Johnson County, Indiana",18081,87227,306
"Benton County, Washington",53005,87316,305
"West Baton Rouge Parish, Louisiana",22121,87320,304
"Cass County, Missouri",29037,87413,303
"Gallatin County, Montana",30031,87454,302
"El Paso County, Colorado",8041,87470,301
"Piatt County, Illinois",17147,87516,300
"Weston County, Wyoming",56045,87545,299
"Blanco County, Texas",48031,87564,298
"Deschutes County, Oregon",41017,87640,297
"Pottawatomie County, Kansas",20149,87694,296
"Calumet County, Wisconsin",55015,87700,295
"Los Angeles County, California",6037,87760,294
"Camden County, North Carolina",37029,87781,293
"Mills County, Iowa",19129,87810,292
"Belknap County, New Hampshire",33001,87983,291
"Miami County, Kansas",20121,88000,290
"Douglas County, Nevada",32005,88018,289
"Lee County, Georgia",13177,88024,288
"Cape May County, New Jersey",34009,88046,287
"Dane County, Wisconsin",55025,88108,286
"Prince George County, Virginia",51149,88225,285
"Cass County, Nebraska",31025,88255,284
"McKenzie County, North Dakota",38053,88289,282
"Traill County, North Dakota",38097,88289,282
"Island County, Washington",53029,88358,281
"Addison County, Vermont",50001,88478,280
"San Joaquin County, California",6077,88531,279
"Chatham County, North Carolina",37037,88534,278
"Orange County, North Carolina",37135,88553,277
"Delaware County, Pennsylvania",42045,88576,276
"Kaufman County, Texas",48257,88606,275
"Gilpin County, Colorado",8047,88654,274
"Sacramento County, California",6067,88724,273
"Pierce County, Wisconsin",55093,88802,272
"Yolo County, California",6113,88818,271
"Nassau County, Florida",12089,88900,270
"Ada County, Idaho",16001,88907,269
"Denali, Alaska",2068,88935,268
"Santa Rosa County, Florida",12113,88968,267
"Dawson County, Georgia",13085,88986,266
"Ketchikan Gateway Borough, Alaska",2130,89155,265
"Harris County, Georgia",13145,89184,264
"Divide County, North Dakota",38023,89297,263
"Saunders County, Nebraska",31155,89395,262
"New London County, Connecticut",9011,89428,261
"Madison County, Iowa",19121,89542,260
"Lexington City, Virginia",51678,89598,259
"Riverside County, California",6065,89672,258
"Juab County, Utah",49023,89803,257
"Benton County, Arkansas",5007,89879,256
"Wise County, Texas",48497,89897,255
"New Castle County, Delaware",10003,89901,254
"Hartford County, Connecticut",9003,89982,253
"Hudson County, New Jersey",34017,90032,252
"Skamania County, Washington",53059,90085,251
"Suffolk City, Virginia",51800,90089,250
"Schleicher County, Texas",48413,90141,249
"Washington County, Nebraska",31177,90188,248
"Le Sueur County, Minnesota",27079,90218,247
"Williams County, North Dakota",38105,90224,246
"Grand Isle County, Vermont",50013,90625,244
"Matanuska-Susitna Borough, Alaska",2170,90625,244
"Virginia Beach City, Virginia",51810,90685,243
"Teton County, Idaho",16081,90740,242
"Baltimore County, Maryland",24005,90904,241
"Cecil County, Maryland",24015,91146,240
"Kent County, Rhode Island",44003,91278,239
"Hancock County, Indiana",18059,91326,238
"Larimer County, Colorado",8069,91364,237
"Adams County, Colorado",8001,91387,236
"Fulton County, Georgia",13121,91490,235
"Currituck County, North Carolina",37053,91548,234
"Denver County, Colorado",8031,91681,233
"Winkler County, Texas",48495,91898,232
"Leelanau County, Michigan",26089,91943,231
"Fluvanna County, Virginia",51065,91959,230
"Calhoun County, Illinois",17013,92095,229
"Ascension Parish, Louisiana",22005,92266,228
"Wilson County, Texas",48493,92461,227
"Medina County, Ohio",39103,92660,226
"Suffolk County, Massachusetts",25025,92859,225
"Dodge County, Minnesota",27039,92943,224
"Cumberland County, Maine",23005,92983,223
"Warren County, Iowa",19181,92990,222
"Grundy County, Illinois",17063,93060,221
"Weld County, Colorado",8123,93287,220
"San Luis Obispo County, California",6079,93398,219
"Olmsted County, Minnesota",27109,93494,218
"Shelby County, Alabama",1117,93543,217
"Worcester County, Massachusetts",25027,93561,216
"Kauai County, Hawaii",15007,93612,215
"Lake County, Colorado",8065,93655,214
"Guadalupe County, Texas",48187,93776,213
"Merrimack County, New Hampshire",33013,93944,212
"Midland County, Texas",48329,93984,211
"Thurston County, Washington",53067,93985,210
"Wilson County, Tennessee",47189,94048,209
"Coweta County, Georgia",13077,94142,208
"Orange County, Virginia",51137,94175,207
"Chesapeake City, Virginia",51550,94189,206
"Bryan County, Georgia",13029,94234,205
"Chittenden County, Vermont",50007,94310,204
"Barnstable County, Massachusetts",25001,94452,203
"Monterey County, California",6053,94486,202
"Paulding County, Georgia",13223,94557,201
"Salt Lake County, Utah",49035,94658,200
"Dunn County, North Dakota",38025,94688,199
"Boone County, Kentucky",21015,94752,198
"Clark County, Washington",53011,94948,197
"Warrick County, Indiana",18173,95027,196
"Maui County, Hawaii",15009,95076,195
"Brazoria County, Texas",48039,95155,194
"Campbell County, Wyoming",56005,95253,193
"Oakland County, Michigan",26125,95296,192
"Litchfield County, Connecticut",9005,95323,191
"Park County, Colorado",8093,95450,190
"Jefferson County, West Virginia",54037,95523,189
"Frederick County, Virginia",51069,95603,188
"Platte County, Missouri",29165,95748,187
"Washington County, Wisconsin",55131,95851,186
"Ellis County, Texas",48139,95898,185
"Santa Barbara County, California",6083,95977,184
"Storey County, Nevada",32029,96000,183
"Culpeper County, Virginia",51047,96098,182
"Isle of Wight County, Virginia",51093,96118,181
"Columbia County, Georgia",13073,96122,180
"Mercer County, New Jersey",34021,96333,179
"Burke County, North Dakota",38013,96339,177
"Hennepin County, Minnesota",27053,96339,177
"Orange County, New York",36071,96497,176
"Lincoln County, South Dakota",46083,96552,175
"Pierce County, Washington",53053,96632,174
"Clear Creek County, Colorado",8019,96667,173
"Ozaukee County, Wisconsin",55089,96734,172
"Utah County, Utah",49049,96877,171
"Travis County, Texas",48453,97169,170
"Arapahoe County, Colorado",8005,97215,169
"Montgomery County, Texas",48339,97266,168
"Dutchess County, New York",36027,97273,167
"Middlesex County, Connecticut",9007,97859,166
"Rappahannock County, Virginia",51157,98125,165
"Anchorage Borough, Alaska",2020,98152,164
"Chisago County, Minnesota",27025,98260,163
"Richmond County, New York",36085,98290,162
"Spencer County, Kentucky",21215,98333,161
"Kitsap County, Washington",53035,98546,160
"Cobb County, Georgia",13067,98712,159
"Anoka County, Minnesota",27003,98764,158
"Chesterfield County, Virginia",51041,98910,157
"Comal County, Texas",48091,99015,156
"Union County, North Carolina",37179,99243,155
"Essex County, Massachusetts",25009,99431,154
"Warren County, New Jersey",34041,99596,153
"Saratoga County, New York",36091,99653,152
"Hendricks County, Indiana",18063,99988,151
"Solano County, California",6095,99994,150
"Union County, New Jersey",34039,100117,149
"Pitkin County, Colorado",8097,100318,148
"Clackamas County, Oregon",41005,100360,147
"Hillsborough County, New Hampshire",33011,100436,146
"Juneau Borough, Alaska",2110,100513,145
"Bristol Bay Borough, Alaska",2060,100625,144
"Manassas Park City, Virginia",51685,100668,143
"Kane County, Illinois",17089,100678,142
"Prince Georges County, Maryland",24033,100708,141
"Geauga County, Ohio",39055,100783,140
"Newport County, Rhode Island",44005,100859,139
"Sitka Borough, Alaska",2220,101207,138
"Livingston County, Michigan",26093,101315,137
"Sarpy County, Nebraska",31153,101402,136
"Monroe County, Illinois",17133,101635,135
"Wake County, North Carolina",37183,101763,134
"Tooele County, Utah",49045,101846,133
"Parker County, Texas",48367,102099,132
"San Diego County, California",6073,102285,131
"Dukes County, Massachusetts",25007,102348,130
"Dallas County, Iowa",19049,102349,129
"Washington County, Rhode Island",44009,102478,128
"St. Croix County, Wisconsin",55109,102482,127
"Albemarle County, Virginia",51003,102617,126
"Boulder County, Colorado",8013,102772,125
"Gloucester County, New Jersey",34015,102807,124
"McHenry County, Illinois",17111,102836,123
"Sonoma County, California",6097,102840,122
"St. Charles County, Missouri",29183,102912,121
"Sherburne County, Minnesota",27141,102965,120
"Eagle County, Colorado",8037,103174,119
"Tolland County, Connecticut",9013,103443,118
"Waukesha County, Wisconsin",55133,104100,117
"Honolulu County, Hawaii",15003,104264,116
"Washington County, Oregon",41067,104434,115
"New York County, New York",36061,104553,114
"Routt County, Colorado",8107,104803,113
"Boone County, Indiana",18011,104865,112
"Dakota County, Minnesota",27037,105212,111
"Burlington County, New Jersey",34005,105271,110
"Cherokee County, Georgia",13057,105442,109
"St. Johns County, Florida",12109,106169,108
"El Dorado County, California",6017,106190,107
"Summit County, Colorado",8117,106255,106
District of Columbia,11001,106287,105
"Wright County, Minnesota",27171,106666,104
"Glasscock County, Texas",48173,106806,103
"James City County, Virginia",51095,107046,102
"Johnson County, Kansas",20091,107261,101
"Ventura County, California",6111,107327,100
"Aleutians West Census Area, Alaska",2016,107344,99
"Will County, Illinois",17197,107799,98
"Jefferson County, Colorado",8059,107800,97
"Warren County, Ohio",39165,107843,96
"Snohomish County, Washington",53061,107982,95
"Davis County, Utah",49011,108058,94
"Chambers County, Texas",48071,108114,93
"Denton County, Texas",48121,108185,92
"San Benito County, California",6069,108289,91
"Williamson County, Texas",48491,108309,90
"York County, Virginia",51199,108326,89
"Lake County, Illinois",17097,108917,88
"Napa County, California",6055,108970,87
"Fayette County, Georgia",13113,108986,86
"Middlesex County, New Jersey",34023,109028,85
"Santa Cruz County, California",6087,109266,84
"Hanover County, Virginia",51085,109504,83
"Union County, Ohio",39159,109506,82
"Spotsylvania County, Virginia",51177,109576,81
"Plymouth County, Massachusetts",25023,109698,80
"Kendall County, Illinois",17093,110474,79
"Kendall County, Texas",48259,110498,78
"DuPage County, Illinois",17043,110502,77
"King George County, Virginia",51099,110517,76
"Rockland County, New York",36087,110631,75
"Powhatan County, Virginia",51145,110667,74
"Alpine County, California",6003,110781,73
"Bristol County, Rhode Island",44001,110926,72
"Harford County, Maryland",24025,111317,71
"Montgomery County, Pennsylvania",42091,111521,70
"Bucks County, Pennsylvania",42017,111951,69
"Teton County, Wyoming",56039,112681,68
"Queen Annes County, Maryland",24035,113347,67
"Fort Bend County, Texas",48157,113409,66
"Alexandria City, Virginia",51510,113638,65
"Orange County, California",6059,113702,64
"Rockingham County, New Hampshire",33015,113927,63
"Clarke County, Virginia",51043,114185,62
"Sussex County, New Jersey",34037,114316,61
"Washington County, Minnesota",27163,114457,60
"Fairfield County, Connecticut",9001,114462,59
"St. Marys County, Maryland",24037,114580,58
"Placer County, California",6061,114678,57
"Wasatch County, Utah",49051,115146,56
"Carroll County, Maryland",24013,115876,55
"Oconee County, Georgia",13219,115925,54
"Collin County, Texas",48085,117588,53
"Manassas City, Virginia",51683,117919,52
"Hamilton County, Indiana",18057,117957,51
"Westchester County, New York",36119,118411,50
"Goochland County, Virginia",51075,118695,49
"Nantucket County, Massachusetts",25019,119750,48
"New Kent County, Virginia",51127,120125,47
"Scott County, Minnesota",27139,120247,46
"Anne Arundel County, Maryland",24003,120324,45
"Frederick County, Maryland",24021,120458,44
"Charles County, Maryland",24017,120592,43
"Poquoson City, Virginia",51735,120919,42
"Broomfield County, Colorado",8014,121025,41
"Oldham County, Kentucky",21185,121491,40
"King County, Washington",53033,122148,39
"Monmouth County, New Jersey",34025,122727,38
"Chester County, Pennsylvania",42029,123041,37
"Carver County, Minnesota",27019,123144,36
"Bergen County, New Jersey",34003,123715,35
"Rockwall County, Texas",48397,124917,34
"Contra Costa County, California",6013,125727,33
"Morgan County, Utah",49029,126092,32
"Alameda County, California",6001,126240,31
"Norfolk County, Massachusetts",25021,126497,30
"Middlesex County, Massachusetts",25017,126779,29
"Putnam County, New York",36079,127405,28
"Suffolk County, New York",36103,128329,27
"Montgomery County, Maryland",24031,128733,26
"Prince William County, Virginia",51153,128873,25
"Elbert County, Colorado",8039,129477,24
"Fauquier County, Virginia",51061,129495,23
"Delaware County, Ohio",39041,130088,22
"Williamson County, Tennessee",47187,131202,21
"Calvert County, Maryland",24009,132059,20
"Fairfax City, Virginia",51600,132774,19
"Stafford County, Virginia",51179,133792,18
"Morris County, New Jersey",34027,134929,17
"Somerset County, New Jersey",34035,135960,16
"Summit County, Utah",49043,137058,15
"Forsyth County, Georgia",13117,138000,14
"Hunterdon County, New Jersey",34019,139453,13
"Arlington County, Virginia",51013,140160,12
"San Francisco County, California",6075,141446,11
"Marin County, California",6041,142785,10
"Los Alamos County, New Mexico",35028,143188,9
"Nassau County, New York",36059,143408,8
"Douglas County, Colorado",8035,145737,7
"Howard County, Maryland",24027,146982,6
"Fairfax County, Virginia",51059,150113,5
"Falls Church City, Virginia",51610,154734,4
"San Mateo County, California",6081,156000,3
"Santa Clara County, California",6085,159674,2
"Loudoun County, Virginia",51107,178707,1
"Esmeralda County, Nevada",32009,NA,N/A
"Kenedy County, Texas",48261,NA,N/A
,,,
Suggested Citation:,,,
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 3/6/2026. Available from https://hdpulse.nimhd.nih.gov,,,
,,,
Notes:,,,
"NA: Data not available [http://hdpulse.nimhd.nih.gov/data/datanotavailable.html] for this combination of geography, cancer site, age, and race/ethnicity.",,,
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).,,,
"For more information about Income (Median household income), see the dictionary at http://hdpulse.nimhd.nih.gov/dictionary.php#income.",,,
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]",,,
,,,
"Note: This website still uses Connecticut counties instead of planning regions for consistency of geographies across data topics. If/when all data sources have new planning regions, then this website will switch to using them. For median income variables, block group data is weighted and summarized to the counties.",,,
